Fecha,Hora_Real,Mesa,Estado,Permanencia_Segundos
2026-05-31,17:31:26,Mesa 2,OCUPADA,0.0
2026-05-31,17:31:26,Mesa 3,OCUPADA,0.0
2026-05-31,17:31:26,Mesa 10,OCUPADA,0.0
2026-05-31,17:31:26,Mesa 11,OCUPADA,0.0
2026-05-31,17:31:26,Mesa 12,OCUPADA,0.0
2026-05-31,17:31:26,Mesa 4,OCUPADA,0.0
2026-05-31,17:31:26,Mesa 15,OCUPADA,0.0
2026-05-31,17:31:32,Mesa 4,LIBERADA,5.2
2026-05-31,17:31:32,Mesa 15,LIBERADA,5.3
2026-05-31,17:31:43,Mesa 2,SIGUE OCUPADA,15.0
2026-05-31,17:31:43,Mesa 3,SIGUE OCUPADA,15.0
2026-05-31,17:31:43,Mesa 10,SIGUE OCUPADA,15.0
2026-05-31,17:31:43,Mesa 11,SIGUE OCUPADA,15.0
2026-05-31,17:31:43,Mesa 12,SIGUE OCUPADA,15.0
2026-05-31,17:31:44,Mesa 14,OCUPADA,0.0
2026-05-31,17:31:49,Mesa 14,LIBERADA,5.1
2026-05-31,17:31:55,Mesa 4,OCUPADA,0.0
2026-05-31,17:31:55,Mesa 12,LIBERADA,26.0
2026-05-31,17:31:58,Mesa 12,OCUPADA,0.0
2026-05-31,17:31:59,Mesa 2,SIGUE OCUPADA,30.0
2026-05-31,17:31:59,Mesa 3,SIGUE OCUPADA,30.0
2026-05-31,17:31:59,Mesa 10,SIGUE OCUPADA,30.0
2026-05-31,17:31:59,Mesa 11,SIGUE OCUPADA,30.0
2026-05-31,17:32:01,Mesa 4,LIBERADA,5.8
2026-05-31,17:32:03,Mesa 6,OCUPADA,0.0
2026-05-31,17:32:06,Mesa 13,OCUPADA,0.0
2026-05-31,17:32:06,Mesa 7,OCUPADA,0.0
2026-05-31,17:32:09,Mesa 14,OCUPADA,0.0
2026-05-31,17:32:11,Mesa 8,OCUPADA,0.0
2026-05-31,17:32:11,Mesa 4,OCUPADA,0.0
2026-05-31,17:32:11,Mesa 6,LIBERADA,7.6
2026-05-31,17:32:15,Mesa 12,SIGUE OCUPADA,15.0
2026-05-31,17:32:15,Mesa 14,LIBERADA,5.3
2026-05-31,17:32:16,Mesa 2,SIGUE OCUPADA,45.0
2026-05-31,17:32:16,Mesa 3,SIGUE OCUPADA,45.0
2026-05-31,17:32:16,Mesa 10,SIGUE OCUPADA,45.0
2026-05-31,17:32:16,Mesa 11,SIGUE OCUPADA,45.0
2026-05-31,17:32:18,Mesa 4,LIBERADA,6.0
2026-05-31,17:32:21,Mesa 13,LIBERADA,13.6
2026-05-31,17:32:21,Mesa 8,LIBERADA,9.2
2026-05-31,17:32:23,Mesa 7,SIGUE OCUPADA,15.0
2026-05-31,17:32:24,Mesa 13,OCUPADA,0.0
2026-05-31,17:32:31,Mesa 13,LIBERADA,6.3
2026-05-31,17:32:32,Mesa 12,SIGUE OCUPADA,30.0
2026-05-31,17:32:33,Mesa 2,SIGUE OCUPADA,60.0
2026-05-31,17:32:33,Mesa 3,SIGUE OCUPADA,60.0
2026-05-31,17:32:33,Mesa 10,SIGUE OCUPADA,60.0
2026-05-31,17:32:33,Mesa 11,SIGUE OCUPADA,60.0
2026-05-31,17:32:38,Mesa 4,OCUPADA,0.0
2026-05-31,17:32:40,Mesa 7,SIGUE OCUPADA,30.0
2026-05-31,17:32:44,Mesa 8,OCUPADA,0.0
2026-05-31,17:32:47,Mesa 4,LIBERADA,8.6
2026-05-31,17:32:49,Mesa 12,SIGUE OCUPADA,45.0
2026-05-31,17:32:50,Mesa 2,SIGUE OCUPADA,75.1
2026-05-31,17:32:50,Mesa 3,SIGUE OCUPADA,75.1
2026-05-31,17:32:50,Mesa 10,SIGUE OCUPADA,75.1
2026-05-31,17:32:50,Mesa 11,SIGUE OCUPADA,75.1
2026-05-31,17:32:50,Mesa 8,LIBERADA,5.4
2026-05-31,17:32:50,Mesa 12,LIBERADA,46.3
2026-05-31,17:57:15,Mesa 2,OCUPADA,0.0
2026-05-31,17:57:15,Mesa 3,OCUPADA,0.0
2026-05-31,17:57:15,Mesa 10,OCUPADA,0.0
2026-05-31,17:57:15,Mesa 11,OCUPADA,0.0
2026-05-31,17:57:15,Mesa 12,OCUPADA,0.0
2026-05-31,17:57:15,Mesa 4,OCUPADA,0.0
2026-05-31,17:57:15,Mesa 15,OCUPADA,0.0
2026-05-31,17:57:21,Mesa 4,LIBERADA,5.2
2026-05-31,17:57:21,Mesa 15,LIBERADA,5.3
2026-05-31,17:57:31,Mesa 2,SIGUE OCUPADA,15.0
2026-05-31,17:57:31,Mesa 3,SIGUE OCUPADA,15.0
2026-05-31,17:57:31,Mesa 10,SIGUE OCUPADA,15.0
2026-05-31,17:57:31,Mesa 11,SIGUE OCUPADA,15.0
2026-05-31,17:57:31,Mesa 12,SIGUE OCUPADA,15.0
2026-05-31,17:57:32,Mesa 14,OCUPADA,0.0
2026-05-31,17:57:38,Mesa 14,LIBERADA,5.1
2026-05-31,17:57:43,Mesa 4,OCUPADA,0.0
2026-05-31,17:57:43,Mesa 12,LIBERADA,26.0
2026-05-31,17:57:46,Mesa 12,OCUPADA,0.0
2026-05-31,17:57:48,Mesa 2,SIGUE OCUPADA,30.0
2026-05-31,17:57:48,Mesa 3,SIGUE OCUPADA,30.0
2026-05-31,17:57:48,Mesa 10,SIGUE OCUPADA,30.0
2026-05-31,17:57:48,Mesa 11,SIGUE OCUPADA,30.0
2026-05-31,17:57:49,Mesa 4,LIBERADA,5.8
2026-05-31,17:57:51,Mesa 6,OCUPADA,0.0
2026-05-31,17:57:54,Mesa 13,OCUPADA,0.0
2026-05-31,17:57:55,Mesa 7,OCUPADA,0.0
2026-05-31,17:57:57,Mesa 14,OCUPADA,0.0
2026-05-31,17:57:59,Mesa 8,OCUPADA,0.0
2026-05-31,17:57:59,Mesa 4,OCUPADA,0.0
2026-05-31,17:57:59,Mesa 6,LIBERADA,7.6
2026-05-31,17:58:02,Mesa 12,SIGUE OCUPADA,15.0
2026-05-31,17:58:03,Mesa 14,LIBERADA,5.3
2026-05-31,17:58:03,Mesa 2,SIGUE OCUPADA,45.0
2026-05-31,17:58:03,Mesa 3,SIGUE OCUPADA,45.0
2026-05-31,17:58:03,Mesa 10,SIGUE OCUPADA,45.0
2026-05-31,17:58:03,Mesa 11,SIGUE OCUPADA,45.0
2026-05-31,17:58:06,Mesa 4,LIBERADA,6.0
2026-05-31,17:58:09,Mesa 13,LIBERADA,13.6
2026-05-31,17:58:09,Mesa 8,LIBERADA,9.2
2026-05-31,17:58:11,Mesa 7,SIGUE OCUPADA,15.0
2026-05-31,17:58:11,Mesa 13,OCUPADA,0.0
2026-05-31,17:58:18,Mesa 13,LIBERADA,6.3
2026-05-31,17:58:19,Mesa 12,SIGUE OCUPADA,30.0
2026-05-31,17:58:20,Mesa 2,SIGUE OCUPADA,60.0
2026-05-31,17:58:20,Mesa 3,SIGUE OCUPADA,60.0
2026-05-31,17:58:20,Mesa 10,SIGUE OCUPADA,60.0
2026-05-31,17:58:20,Mesa 11,SIGUE OCUPADA,60.0
2026-05-31,17:58:24,Mesa 4,OCUPADA,0.0
2026-05-31,17:58:27,Mesa 7,SIGUE OCUPADA,30.0
2026-05-31,17:58:30,Mesa 8,OCUPADA,0.0
2026-05-31,17:58:33,Mesa 4,LIBERADA,8.6
2026-05-31,17:58:34,Mesa 12,SIGUE OCUPADA,45.0
2026-05-31,17:58:36,Mesa 2,SIGUE OCUPADA,75.1
2026-05-31,17:58:36,Mesa 3,SIGUE OCUPADA,75.1
2026-05-31,17:58:36,Mesa 10,SIGUE OCUPADA,75.1
2026-05-31,17:58:36,Mesa 11,SIGUE OCUPADA,75.1
2026-05-31,17:58:36,Mesa 8,LIBERADA,5.4
2026-05-31,17:58:36,Mesa 12,LIBERADA,46.3
2026-05-31,18:21:32,Mesa 2,OCUPADA,0.0
2026-05-31,18:21:32,Mesa 3,OCUPADA,0.0
2026-05-31,18:21:32,Mesa 10,OCUPADA,0.0
2026-05-31,18:21:32,Mesa 11,OCUPADA,0.0
2026-05-31,18:21:32,Mesa 12,OCUPADA,0.0
2026-05-31,18:21:32,Mesa 4,OCUPADA,0.0
2026-05-31,18:21:32,Mesa 15,OCUPADA,0.0
2026-05-31,18:21:37,Mesa 4,LIBERADA,5.2
2026-05-31,18:21:37,Mesa 15,LIBERADA,5.3
2026-05-31,18:21:47,Mesa 2,SIGUE OCUPADA,15.0
2026-05-31,18:21:47,Mesa 3,SIGUE OCUPADA,15.0
2026-05-31,18:21:47,Mesa 10,SIGUE OCUPADA,15.0
2026-05-31,18:21:47,Mesa 11,SIGUE OCUPADA,15.0
2026-05-31,18:21:47,Mesa 12,SIGUE OCUPADA,15.0
2026-05-31,18:21:47,Mesa 14,OCUPADA,0.0
2026-05-31,18:21:52,Mesa 14,LIBERADA,5.1
2026-05-31,18:21:57,Mesa 4,OCUPADA,0.0
2026-05-31,18:21:57,Mesa 12,LIBERADA,26.0
2026-05-31,18:22:00,Mesa 12,OCUPADA,0.0
2026-05-31,18:22:01,Mesa 2,SIGUE OCUPADA,30.0
2026-05-31,18:22:01,Mesa 3,SIGUE OCUPADA,30.0
2026-05-31,18:22:01,Mesa 10,SIGUE OCUPADA,30.0
2026-05-31,18:22:01,Mesa 11,SIGUE OCUPADA,30.0
2026-05-31,18:22:03,Mesa 4,LIBERADA,5.8
2026-05-31,18:22:04,Mesa 6,OCUPADA,0.0
2026-05-31,18:22:07,Mesa 13,OCUPADA,0.0
2026-05-31,18:22:07,Mesa 7,OCUPADA,0.0
2026-05-31,18:22:10,Mesa 14,OCUPADA,0.0
2026-05-31,18:22:11,Mesa 8,OCUPADA,0.0
2026-05-31,18:22:11,Mesa 4,OCUPADA,0.0
2026-05-31,18:22:11,Mesa 6,LIBERADA,7.6
2026-05-31,18:22:14,Mesa 12,SIGUE OCUPADA,15.0
2026-05-31,18:22:15,Mesa 14,LIBERADA,5.3
2026-05-31,18:22:15,Mesa 2,SIGUE OCUPADA,45.0
2026-05-31,18:22:15,Mesa 3,SIGUE OCUPADA,45.0
2026-05-31,18:22:15,Mesa 10,SIGUE OCUPADA,45.0
2026-05-31,18:22:15,Mesa 11,SIGUE OCUPADA,45.0
2026-05-31,18:22:17,Mesa 4,LIBERADA,6.0
2026-05-31,18:22:20,Mesa 13,LIBERADA,13.6
2026-05-31,18:22:20,Mesa 8,LIBERADA,9.2
2026-05-31,18:22:22,Mesa 7,SIGUE OCUPADA,15.0
2026-05-31,18:22:22,Mesa 13,OCUPADA,0.0
2026-05-31,18:22:28,Mesa 13,LIBERADA,6.3
2026-05-31,18:22:29,Mesa 12,SIGUE OCUPADA,30.0
2026-05-31,18:22:30,Mesa 2,SIGUE OCUPADA,60.0
2026-05-31,18:22:30,Mesa 3,SIGUE OCUPADA,60.0
2026-05-31,18:22:30,Mesa 10,SIGUE OCUPADA,60.0
2026-05-31,18:22:30,Mesa 11,SIGUE OCUPADA,60.0
2026-05-31,18:22:34,Mesa 4,OCUPADA,0.0
2026-05-31,18:22:36,Mesa 7,SIGUE OCUPADA,30.0
2026-05-31,18:22:39,Mesa 8,OCUPADA,0.0
2026-05-31,18:22:42,Mesa 4,LIBERADA,8.6
2026-05-31,18:22:43,Mesa 12,SIGUE OCUPADA,45.0
2026-05-31,18:22:44,Mesa 2,SIGUE OCUPADA,75.1
2026-05-31,18:22:44,Mesa 3,SIGUE OCUPADA,75.1
2026-05-31,18:22:44,Mesa 10,SIGUE OCUPADA,75.1
2026-05-31,18:22:44,Mesa 11,SIGUE OCUPADA,75.1
2026-05-31,18:22:44,Mesa 8,LIBERADA,5.4
2026-05-31,18:22:44,Mesa 12,LIBERADA,46.3
2026-06-01,20:40:06,Mesa 2,OCUPADA,0.0
2026-06-01,20:40:06,Mesa 3,OCUPADA,0.0
2026-06-01,20:40:06,Mesa 10,OCUPADA,0.0
2026-06-01,20:40:06,Mesa 11,OCUPADA,0.0
2026-06-01,20:40:06,Mesa 12,OCUPADA,0.0
2026-06-01,20:40:07,Mesa 4,OCUPADA,0.0
2026-06-01,20:40:07,Mesa 15,OCUPADA,0.0
2026-06-01,20:40:11,Mesa 4,LIBERADA,5.2
2026-06-01,20:40:11,Mesa 15,LIBERADA,5.3
2026-06-01,20:40:20,Mesa 2,SIGUE OCUPADA,15.0
2026-06-01,20:40:20,Mesa 3,SIGUE OCUPADA,15.0
2026-06-01,20:40:20,Mesa 10,SIGUE OCUPADA,15.0
2026-06-01,20:40:20,Mesa 11,SIGUE OCUPADA,15.0
2026-06-01,20:40:20,Mesa 12,SIGUE OCUPADA,15.0
2026-06-01,20:40:21,Mesa 14,OCUPADA,0.0
2026-06-01,20:40:27,Mesa 14,LIBERADA,5.1
2026-06-01,20:40:32,Mesa 4,OCUPADA,0.0
2026-06-01,20:40:32,Mesa 12,LIBERADA,26.0
2026-06-01,20:40:35,Mesa 12,OCUPADA,0.0
2026-06-01,20:40:36,Mesa 2,SIGUE OCUPADA,30.0
2026-06-01,20:40:36,Mesa 3,SIGUE OCUPADA,30.0
2026-06-01,20:40:36,Mesa 10,SIGUE OCUPADA,30.0
2026-06-01,20:40:36,Mesa 11,SIGUE OCUPADA,30.0
2026-06-01,20:40:37,Mesa 4,LIBERADA,5.8
2026-06-01,20:40:39,Mesa 6,OCUPADA,0.0
2026-06-01,20:40:42,Mesa 13,OCUPADA,0.0
2026-06-01,20:40:43,Mesa 7,OCUPADA,0.0
2026-06-01,20:40:46,Mesa 14,OCUPADA,0.0
2026-06-01,20:40:47,Mesa 8,OCUPADA,0.0
2026-06-01,20:40:47,Mesa 4,OCUPADA,0.0
2026-06-01,20:40:47,Mesa 6,LIBERADA,7.6
2026-06-01,20:40:50,Mesa 12,SIGUE OCUPADA,15.0
2026-06-01,20:40:51,Mesa 14,LIBERADA,5.3
2026-06-01,20:40:51,Mesa 2,SIGUE OCUPADA,45.0
2026-06-01,20:40:51,Mesa 3,SIGUE OCUPADA,45.0
2026-06-01,20:40:51,Mesa 10,SIGUE OCUPADA,45.0
2026-06-01,20:40:51,Mesa 11,SIGUE OCUPADA,45.0
2026-06-01,20:40:53,Mesa 4,LIBERADA,6.0
2026-06-01,20:40:55,Mesa 13,LIBERADA,13.6
2026-06-01,20:40:56,Mesa 8,LIBERADA,9.2
2026-06-01,20:40:57,Mesa 7,SIGUE OCUPADA,15.0
2026-06-01,20:40:58,Mesa 13,OCUPADA,0.0
2026-06-01,20:41:04,Mesa 13,LIBERADA,6.3
2026-06-01,20:41:05,Mesa 12,SIGUE OCUPADA,30.0
2026-06-01,20:41:06,Mesa 2,SIGUE OCUPADA,60.0
2026-06-01,20:41:06,Mesa 3,SIGUE OCUPADA,60.0
2026-06-01,20:41:06,Mesa 10,SIGUE OCUPADA,60.0
2026-06-01,20:41:06,Mesa 11,SIGUE OCUPADA,60.0
2026-06-01,20:41:10,Mesa 4,OCUPADA,0.0
2026-06-01,20:41:13,Mesa 7,SIGUE OCUPADA,30.0
2026-06-01,20:41:16,Mesa 8,OCUPADA,0.0
2026-06-01,20:41:18,Mesa 4,LIBERADA,8.6
2026-06-01,20:41:20,Mesa 12,SIGUE OCUPADA,45.0
2026-06-01,20:41:20,Mesa 2,SIGUE OCUPADA,75.1
2026-06-01,20:41:20,Mesa 3,SIGUE OCUPADA,75.1
2026-06-01,20:41:20,Mesa 10,SIGUE OCUPADA,75.1
2026-06-01,20:41:20,Mesa 11,SIGUE OCUPADA,75.1
2026-06-01,20:41:21,Mesa 8,LIBERADA,5.4
2026-06-01,20:41:21,Mesa 12,LIBERADA,46.3
2026-06-01,20:41:30,Mesa 2,OCUPADA,0.0
2026-06-01,20:41:30,Mesa 3,OCUPADA,0.0
2026-06-01,20:41:30,Mesa 10,OCUPADA,0.0
2026-06-01,20:41:30,Mesa 11,OCUPADA,0.0
